iter	Passed	Remaining
776	1958	561
777	1960	559
778	1961	556
779	1963	553
780	1964	550
781	1966	548
782	1968	545
783	1969	542
784	1971	539
785	1977	538
786	1978	535
787	1980	532
788	1982	530
789	1985	527
790	1986	524
791	1991	522
792	1993	520
793	1994	517
794	1996	514
795	1998	512
796	2000	509
797	2002	506
798	2005	504
799	2007	501
800	2009	499
801	2010	496
802	2012	493
803	2014	491
804	2016	488
805	2019	486
806	2021	483
807	2023	480
808	2024	477
809	2026	475
810	2027	472
811	2029	469
812	2030	467
813	2034	464
814	2037	462
815	2039	459
816	2041	457
817	2042	454
818	2044	451
819	2046	449
820	2051	447
821	2053	444
822	2055	442
823	2057	439
824	2059	436
825	2062	434
826	2065	432
827	2067	429
828	2068	426
829	2070	424
830	2072	421
831	2074	418
832	2075	416
833	2078	413
834	2080	411
835	2082	408
836	2083	405
837	2085	403
838	2087	400
839	2088	397
840	2095	396
841	2096	393
842	2098	390
843	2099	388
844	2101	385
845	2103	382
846	2105	380
847	2110	378
848	2112	375
849	2114	373
850	2116	370
851	2118	367
852	2120	365
853	2122	362
854	2124	360
855	2127	357
856	2128	355
857	2130	352
858	2131	349
859	2133	347
860	2136	344
861	2138	342
862	2140	339
863	2141	337
864	2143	334
865	2145	331
866	2147	329
867	2149	326
868	2151	324
869	2156	322
870	2158	319
871	2159	317
872	2162	314
873	2164	312
874	2167	309
875	2169	307
876	2171	304
877	2173	302
878	2175	299
879	2177	296
880	2179	294
881	2181	291
882	2185	289
883	2187	287
884	2189	284
885	2191	281
886	2193	279
887	2195	276
888	2199	274
889	2201	272
890	2202	269
891	2204	266
892	2206	264
893	2208	261
894	2210	259
895	2215	257
896	2217	254
897	2220	252
898	2222	249
899	2225	247
900	2228	244
901	2230	242
902	2232	239
903	2234	237
904	2236	234
905	2237	232
906	2240	229
907	2243	227
908	2245	224
909	2247	222
910	2249	219
911	2251	217
912	2256	215
913	2259	212
914	2261	210
915	2262	207
916	2264	204
917	2266	202
918	2267	199
919	2270	197
920	2273	195
921	2276	192
922	2278	190
923	2280	187
924	2282	185
925	2284	182
926	2289	180
927	2291	177
928	2294	175
929	2296	172
930	2299	170
931	2302	168
932	2304	165
933	2306	162
934	2307	160
935	2309	157
936	2310	155
937	2312	152
938	2314	150
939	2317	147
940	2319	145
941	2320	142
942	2322	140
943	2324	137
944	2326	135
945	2327	132
946	2332	130
947	2334	128
948	2336	125
949	2338	123
950	2341	120
951	2342	118
952	2344	115
953	2346	113
954	2348	110
955	2349	108
956	2351	105
957	2352	103
958	2354	100
959	2356	98
960	2358	95
961	2361	93
962	2363	90
963	2365	88
964	2367	85
965	2369	83
966	2371	80
967	2372	78
968	2378	76
969	2379	73
970	2381	71
971	2383	68
972	2385	66
973	2386	63
974	2389	61
975	2392	58
976	2394	56
977	2395	53
978	2397	51
979	2398	48
980	2400	46
981	2402	44
982	2405	41
983	2407	39
984	2408	36
985	2410	34
986	2412	31
987	2413	29
988	2415	26
989	2416	24
990	2424	22
991	2426	19
992	2427	17
993	2429	14
994	2431	12
995	2434	9
996	2436	7
997	2438	4
998	2439	2
999	2441	0
